episode;season;views
1;1;7,89
2;1;5,39
3;1;5,86
4;1;4,87
5;1;5,01
6;1;5,04
7;1;5,32
8;1;5,45
9;1;5,09
10;1;4,86
11;1;5,42
12;1;5,51
13;1;5,42
14;1;4,75
15;1;5,23
16;1;5,15
17;1;5,02
18;1;4,6
19;1;5,07
20;1;5,07
21;1;3,67
22;1;4,36
23;1;4,35
24;1;4,49
25;1;4,43
26;2;5,01
27;2;4,53
28;2;4,2
29;2;4,81
30;2;4,46
31;2;5,64
32;2;4,61
33;2;4,53
34;2;4,41
35;2;4,55
36;2;4,29
37;2;4,73
38;2;4,59
39;2;4,37
40;2;3,81
41;2;4,11
42;2;3,79
43;2;4,15
44;2;4,46
45;2;3,49
46;2;3,17
47;2;3,35
48;2;3,49
49;2;3,32
50;3;3,93
51;3;3,98
52;3;3,35
53;3;3,78
54;3;3,42
55;3;3,84
56;3;3,49
57;3;3,62
58;3;3,74
59;3;3,6
60;3;4,75
61;3;3,87
62;3;3,48
63;3;3
64;3;3,09
65;3;2,77
66;3;3,21
67;3;3,2
68;3;2,99
69;3;2,97
70;3;2,61
71;3;2,48
72;4;3,88
73;4;2,76
74;4;3,08
75;4;2,83
76;4;3,29
77;4;2,58
78;4;2,95
79;4;2,32
80;4;2,84
81;4;3,13
82;4;2,33
83;4;2,67
84;4;3,08
85;5;3,49
86;5;3,49
87;5;3,58
88;5;3,07
89;5;3,02
90;5;3,01
91;5;2,56
92;5;2,79
93;5;2,77
94;5;3,32
95;5;2,5
96;5;2,56
97;5;2,87
